,Frame1,Frame2,Accuracy
0,Leadership,Appellations,0.666666667
1,Communication_noise,Make_noise,0.67535854
2,Absorb_heat,Apply_heat,0.777777778
3,Impact,Cause_impact,0.437308869
4,Desirability,Expertise,0
5,Filling,Placing,0.415254237
6,Motion_noise,Make_noise,0.951219512
7,Cause_to_make_noise,Make_noise,0.777777778
8,Containers,Measure_volume,0.993576017
9,Desirability,Usefulness,0
10,Impact,Make_noise,0.675496689
11,Cause_expansion,Expansion,0
12,Impact,Motion_noise,0.509433962
13,Change_of_consistency,Cause_change_of_consistency,0
14,Communication_noise,Motion_noise,0.724867725
15,Expertise,Usefulness,0.460526316
16,Apply_heat,Cooking_creation,0.302325581
17,Cause_to_move_in_place,Moving_in_place,0.367088608
,,,0.485259904